Timestamp,Pressure (bar)
2023-12-16 00:35:15,0.044375
2023-12-16 00:35:25,0.0525
2023-12-16 00:35:34,0.0475
2023-12-16 00:35:46,0.04625
2023-12-16 00:35:55,0.045
2023-12-16 00:36:04,0.043125
2023-12-16 00:36:14,0.044375
2023-12-16 00:36:25,0.044375
2023-12-16 00:36:35,0.045
2023-12-16 00:36:45,0.046875
2023-12-16 00:36:54,0.04625
2023-12-16 00:37:04,0.04375
2023-12-16 00:37:14,0.045625
2023-12-16 00:37:25,0.043125
2023-12-16 00:37:35,0.159375
2023-12-16 00:37:46,0.3775
2023-12-16 00:37:55,0.44
2023-12-16 00:38:05,0.4575
2023-12-16 00:38:15,0.4575
2023-12-16 00:38:25,0.4575
2023-12-16 00:38:35,0.459375
2023-12-16 00:38:45,0.4575
2023-12-16 00:38:55,0.46125
2023-12-16 00:39:04,0.4625
2023-12-16 00:39:16,0.465
2023-12-16 00:39:25,0.468125
2023-12-16 00:39:36,0.495625
2023-12-16 00:39:45,0.53
2023-12-16 00:39:55,0.566875
2023-12-16 00:40:05,0.589375
2023-12-16 00:40:14,0.61625
2023-12-16 00:40:25,0.64
2023-12-16 00:40:36,0.6625
2023-12-16 00:40:45,0.683125
2023-12-16 00:40:54,0.705625
2023-12-16 00:41:05,0.721875
2023-12-16 00:41:15,0.739375
2023-12-16 00:41:24,0.75625
2023-12-16 00:41:35,0.770625
2023-12-16 00:41:45,0.7875
2023-12-16 00:41:54,0.803125
2023-12-16 00:42:04,0.816875
2023-12-16 00:42:15,0.82875
2023-12-16 00:42:24,0.8425
2023-12-16 00:42:34,0.85875
2023-12-16 00:42:45,0.8675
2023-12-16 00:42:55,0.880625
2023-12-16 00:43:06,0.8925
2023-12-16 00:43:15,0.900625
2023-12-16 00:43:24,0.91125
2023-12-16 00:43:35,0.921875
2023-12-16 00:43:45,0.931875
2023-12-16 00:43:58,0.94
2023-12-16 00:44:04,0.94625
2023-12-16 00:44:15,0.9575
2023-12-16 00:44:25,0.965
2023-12-16 00:44:35,0.975
2023-12-16 00:44:45,0.985625
2023-12-16 00:44:56,0.993125
2023-12-16 00:45:06,0.998125
2023-12-16 00:45:15,1.00875
2023-12-16 00:45:25,1.0125
2023-12-16 00:45:37,0.8475
2023-12-16 00:45:44,0.545
2023-12-16 00:45:55,0.339375
2023-12-16 00:46:05,0.2075
2023-12-16 00:46:15,0.115625
2023-12-16 00:46:25,0.055625
2023-12-16 00:46:35,0.024375
2023-12-16 00:46:45,0.016875
2023-12-16 00:46:55,0.020625
2023-12-16 00:47:07,0.154375
2023-12-16 00:47:15,0.331875
2023-12-16 00:47:25,0.411875
2023-12-16 00:47:35,0.46625
2023-12-16 00:47:45,0.508125
2023-12-16 00:47:54,0.52875
2023-12-16 00:48:05,0.569375
2023-12-16 00:48:16,0.60875
2023-12-16 00:48:25,0.64625
2023-12-16 00:48:35,0.680625
2023-12-16 00:48:45,0.71375
2023-12-16 00:48:56,0.73875
2023-12-16 00:49:05,0.763125
2023-12-16 00:49:15,0.788125
2023-12-16 00:49:25,0.809375
2023-12-16 00:49:35,0.830625
2023-12-16 00:49:45,0.85
2023-12-16 00:49:55,0.869375
2023-12-16 00:50:05,0.886875
2023-12-16 00:50:15,0.90375
2023-12-16 00:50:25,0.919375
2023-12-16 00:50:35,0.93625
2023-12-16 00:50:47,0.948125
2023-12-16 00:50:55,0.96625
2023-12-16 00:51:05,0.979375
2023-12-16 00:51:15,0.991875
2023-12-16 00:51:25,1.00625
2023-12-16 00:51:36,1.015625
2023-12-16 00:51:46,1.03125
2023-12-16 00:51:56,1.044375
2023-12-16 00:52:05,1.060625
2023-12-16 00:52:18,1.07125
2023-12-16 00:52:25,1.086875
2023-12-16 00:52:35,1.1025
2023-12-16 00:52:45,1.114375
2023-12-16 00:52:56,1.126875
2023-12-16 00:53:05,1.14125
2023-12-16 00:53:15,1.154375
2023-12-16 00:53:25,1.1725
2023-12-16 00:53:35,1.185625
2023-12-16 00:53:45,1.200625
2023-12-16 00:53:55,1.215625
2023-12-16 00:54:06,1.224375
2023-12-16 00:54:15,1.24125
2023-12-16 00:54:25,1.255625
2023-12-16 00:54:35,1.266875
2023-12-16 00:54:46,1.28125
2023-12-16 00:54:56,1.29375
2023-12-16 00:55:07,1.244375
2023-12-16 00:55:16,1.1225
2023-12-16 00:55:26,1.034375
2023-12-16 00:55:35,0.9525
2023-12-16 00:55:45,0.879375
2023-12-16 00:55:56,0.814375
2023-12-16 00:56:06,0.6525
2023-12-16 00:56:15,0.533125
2023-12-16 00:56:25,0.44375
2023-12-16 00:56:36,0.370625
2023-12-16 00:56:46,0.31
2023-12-16 00:56:58,0.25875
2023-12-16 00:57:05,0.34875
2023-12-16 00:57:17,0.454375
2023-12-16 00:57:26,0.53
2023-12-16 00:57:35,0.585
2023-12-16 00:57:45,0.633125
2023-12-16 00:57:57,0.676875
2023-12-16 00:58:05,0.7175
2023-12-16 00:58:15,0.75375
2023-12-16 00:58:26,0.790625
2023-12-16 00:58:35,0.828125
2023-12-16 00:58:46,0.861875
2023-12-16 00:58:56,0.89375
2023-12-16 00:59:06,0.924375
2023-12-16 00:59:15,0.95625
2023-12-16 00:59:25,0.98375
2023-12-16 00:59:35,1.013125
2023-12-16 00:59:46,1.038125
2023-12-16 00:59:55,1.066875
2023-12-16 01:00:08,1.0925
2023-12-16 01:00:16,1.114375
2023-12-16 01:00:26,1.1375
2023-12-16 01:00:36,1.155625
2023-12-16 01:00:47,1.18
2023-12-16 01:00:56,1.200625
2023-12-16 01:01:07,1.220625
2023-12-16 01:01:16,1.241875
2023-12-16 01:01:26,1.263125
2023-12-16 01:01:36,1.28125
2023-12-16 01:01:47,1.30375
2023-12-16 01:01:55,1.325
2023-12-16 01:02:05,1.34375
2023-12-16 01:02:16,1.365
2023-12-16 01:02:26,1.380625
2023-12-16 01:02:35,1.403125
2023-12-16 01:02:46,1.416875
2023-12-16 01:02:55,1.43625
2023-12-16 01:03:06,1.458125
2023-12-16 01:03:16,1.47375
2023-12-16 01:03:28,1.495625
2023-12-16 01:03:36,1.51375
2023-12-16 01:03:46,1.529375
2023-12-16 01:03:56,1.54625
2023-12-16 01:04:07,1.565
2023-12-16 01:04:16,1.585
2023-12-16 01:04:25,1.59625
2023-12-16 01:04:36,1.62
2023-12-16 01:04:45,1.6425
2023-12-16 01:04:56,1.665625
2023-12-16 01:05:07,1.684375
2023-12-16 01:05:15,1.7025
2023-12-16 01:05:27,1.72375
2023-12-16 01:05:35,1.74375
2023-12-16 01:05:46,1.760625
2023-12-16 01:05:56,1.7775
